cluster_id,household_id,child_age_months,child_sex,mother_education,urban_rural,district,wealth_index,disability,province
1.0,19.0,8.0,0,0.0,1,1.0,2.0,0.0,0
1.0,19.0,7.0,1,0.0,1,1.0,2.0,0.0,0
1.0,20.0,44.0,1,0.0,1,1.0,1.0,2.0,0
1.0,20.0,17.0,1,0.0,1,1.0,1.0,0.0,0
1.0,20.0,15.0,1,0.0,1,1.0,1.0,0.0,0
1.0,20.0,13.0,0,0.0,1,1.0,1.0,0.0,0
1.0,20.0,10.0,1,0.0,1,1.0,1.0,0.0,0
1.0,20.0,8.0,1,0.0,1,1.0,1.0,0.0,0
2.0,1.0,37.0,1,0.0,1,1.0,1.0,2.0,0
2.0,1.0,57.0,0,0.0,1,1.0,1.0,2.0,0
2.0,1.0,8.0,0,0.0,1,1.0,1.0,0.0,0
2.0,1.0,6.0,1,0.0,1,1.0,1.0,0.0,0
2.0,1.0,3.0,0,0.0,1,1.0,1.0,0.0,0
2.0,2.0,56.0,0,0.0,1,1.0,2.0,2.0,0
2.0,2.0,62.0,1,0.0,1,1.0,2.0,2.0,0
2.0,2.0,39.0,0,0.0,1,1.0,2.0,2.0,0
2.0,2.0,33.0,1,0.0,1,1.0,2.0,2.0,0
2.0,2.0,15.0,0,0.0,1,1.0,2.0,0.0,0
2.0,2.0,9.0,0,0.0,1,1.0,2.0,0.0,0
2.0,2.0,20.0,0,0.0,1,1.0,2.0,2.0,0
2.0,2.0,17.0,0,0.0,1,1.0,2.0,0.0,0
2.0,3.0,67.0,0,0.0,1,1.0,2.0,2.0,0
2.0,3.0,54.0,1,0.0,1,1.0,2.0,2.0,0
2.0,3.0,33.0,0,0.0,1,1.0,2.0,2.0,0
2.0,3.0,32.0,1,0.0,1,1.0,2.0,1.0,0
2.0,3.0,15.0,0,0.0,1,1.0,2.0,0.0,0
2.0,3.0,13.0,1,0.0,1,1.0,2.0,0.0,0
2.0,3.0,13.0,1,0.0,1,1.0,2.0,0.0,0
2.0,3.0,10.0,0,0.0,1,1.0,2.0,0.0,0
2.0,3.0,9.0,0,0.0,1,1.0,2.0,0.0,0
2.0,3.0,3.0,0,0.0,1,1.0,2.0,0.0,0
2.0,3.0,3.0,0,0.0,1,1.0,2.0,0.0,0
2.0,3.0,24.0,0,0.0,1,1.0,2.0,2.0,0
2.0,3.0,24.0,1,0.0,1,1.0,2.0,2.0,0
2.0,3.0,12.0,1,0.0,1,1.0,2.0,0.0,0
2.0,3.0,8.0,0,0.0,1,1.0,2.0,0.0,0
2.0,3.0,7.0,1,0.0,1,1.0,2.0,0.0,0
2.0,3.0,3.0,0,0.0,1,1.0,2.0,0.0,0
2.0,3.0,0.0,1,0.0,1,1.0,2.0,0.0,0
2.0,4.0,59.0,0,0.0,1,1.0,3.0,1.0,0
2.0,4.0,62.0,1,0.0,1,1.0,3.0,1.0,0
2.0,4.0,36.0,0,0.0,1,1.0,3.0,2.0,0
2.0,4.0,33.0,1,0.0,1,1.0,3.0,2.0,0
2.0,4.0,11.0,0,4.0,1,1.0,3.0,0.0,0
2.0,4.0,4.0,1,4.0,1,1.0,3.0,0.0,0
2.0,4.0,35.0,0,0.0,1,1.0,3.0,2.0,0
2.0,4.0,32.0,1,0.0,1,1.0,3.0,2.0,0
2.0,4.0,11.0,1,4.0,1,1.0,3.0,0.0,0
2.0,4.0,7.0,1,4.0,1,1.0,3.0,0.0,0
2.0,4.0,4.0,0,4.0,1,1.0,3.0,0.0,0
2.0,4.0,1.0,1,4.0,1,1.0,3.0,0.0,0
2.0,4.0,27.0,0,0.0,1,1.0,3.0,2.0,0
2.0,4.0,21.0,1,0.0,1,1.0,3.0,2.0,0
2.0,4.0,1.0,1,0.0,1,1.0,3.0,0.0,0
2.0,4.0,26.0,0,0.0,1,1.0,3.0,2.0,0
2.0,4.0,12.0,0,0.0,1,1.0,3.0,0.0,0
2.0,4.0,11.0,0,0.0,1,1.0,3.0,0.0,0
2.0,5.0,38.0,0,0.0,1,1.0,3.0,2.0,0
2.0,5.0,29.0,1,0.0,1,1.0,3.0,2.0,0
2.0,5.0,9.0,1,3.0,1,1.0,3.0,0.0,0
2.0,5.0,8.0,1,3.0,1,1.0,3.0,0.0,0
2.0,5.0,5.0,0,3.0,1,1.0,3.0,0.0,0
2.0,5.0,3.0,1,3.0,1,1.0,3.0,0.0,0
2.0,5.0,2.0,0,3.0,1,1.0,3.0,0.0,0
2.0,6.0,25.0,0,0.0,1,1.0,1.0,2.0,0
2.0,6.0,26.0,1,0.0,1,1.0,1.0,2.0,0
2.0,6.0,7.0,1,0.0,1,1.0,1.0,0.0,0
2.0,6.0,6.0,0,0.0,1,1.0,1.0,0.0,0
2.0,6.0,2.0,1,0.0,1,1.0,1.0,0.0,0
2.0,7.0,31.0,0,0.0,1,1.0,1.0,2.0,0
2.0,7.0,27.0,1,0.0,1,1.0,1.0,2.0,0
2.0,7.0,7.0,0,4.0,1,1.0,1.0,0.0,0
2.0,7.0,6.0,1,4.0,1,1.0,1.0,0.0,0
2.0,7.0,3.0,0,4.0,1,1.0,1.0,0.0,0
2.0,8.0,29.0,0,0.0,1,1.0,2.0,2.0,0
2.0,8.0,25.0,1,0.0,1,1.0,2.0,2.0,0
2.0,8.0,6.0,0,0.0,1,1.0,2.0,0.0,0
2.0,8.0,4.0,1,0.0,1,1.0,2.0,0.0,0
2.0,8.0,2.0,1,0.0,1,1.0,2.0,0.0,0
2.0,9.0,77.0,0,0.0,1,1.0,2.0,1.0,0
2.0,9.0,71.0,1,0.0,1,1.0,2.0,2.0,0
2.0,9.0,48.0,0,0.0,1,1.0,2.0,2.0,0
2.0,9.0,44.0,1,0.0,1,1.0,2.0,2.0,0
2.0,9.0,21.0,0,0.0,1,1.0,2.0,2.0,0
2.0,9.0,19.0,0,0.0,1,1.0,2.0,2.0,0
2.0,9.0,17.0,0,0.0,1,1.0,2.0,0.0,0
2.0,9.0,38.0,0,0.0,1,1.0,2.0,2.0,0
2.0,9.0,34.0,1,0.0,1,1.0,2.0,2.0,0
2.0,9.0,11.0,0,0.0,1,1.0,2.0,0.0,0
